"min_ma","max_ma","r_number","name","formation","system","series","intervall","time_slice","reliabilit","subsurface","type","thickness","m_thick","width","m_width","extension","m_ext","ext_belt","belonging","tropical","environmen","subenviron","bathymetry","biota_main","biota_sec","biota_deta","alg_type","p_lmc","p_arag","p_hmc","upwell","control","diversity","m_spec","guild","macro_bor","micro_bor","vert_zonat","hor_zonat","micrite","sparite","debris","dolomite","reservoir","ref1","ref2","remarks","country","latit","longit","collection","pal_lat_m","pal_long_m","pal_lat_scotese","pal_long_scotese"
"152.10","157.30","1153","St. Germain-de-Joux","","Jurassic","Upper Jurassic","Kimmeridgian","21","2","0","1","2","20","","","4","","70","458","0","2","2a","1","1","4","10","","5","60","35","0","0","2","","1","1","1","","","2","2","3","1","0","711","0","Upper Kimmeridgian.
Corals-stromatopores, Tubiphytes, microbial crusts as reef builders.
Two levels with reef facies, 20 and 5 m thick, respectively.","France","46.1833","5.7333","68426","31.0442542342","23.7820110794","37.4618","14.6188"
"66.00","83.60","1154","Quseir","","Cretaceous","Upper Cretaceous","Campanian-Maastrichtian","26","2","0","4","2","","","","4","","40","","0","1","1d","1","15","15","74","","100","0","0","0","0","1","2","1","","","","","2","2","2","0","0","712","0","Oyster bank, bioclastic.
Almost monospecific.","Egypt","26.0667","34.1667","74535","14.0189431803","28.8262855738","9.72572","30.3371"
"93.90","113.00","1155","Nahal Hamea-rot","","Cretaceous","Lower Cretaceous","Albian-Cenomanian","24","3","0","2","3","130","","","4","1300","120","","0","2","2b","1","5","5","72","","70","30","0","0","0","1","2","2","1","1","2","3","3","2","3","1","1","781","715","Reef complex is 130 m thick, 300 wide and 1300 m long.
Reef core exclusively of radiolitides.
Dolomitization increases from core to flanks.","Israel","32.7","34.9667","74182","9.78465598645","28.8177704698","10.0468","29.8376"
"93.90","113.00","1156","Southern Carmel","","Cretaceous","Lower Cretaceous","Albian-Cenomanian","24","3","1","2","3","300","","","4","","120","1155","0","2","2b","1","5","5","72","","60","40","0","0","0","1","","2","1","1","","","3","2","3","1","0","715","0","Well data.
300 m thick reef.","Israel","32.5833","34.95","","9.68201836907","28.7596435953","9.93677","29.7956"
"93.90","113.00","1157","Helez","","Cretaceous","Lower Cretaceous","Albian-Cenomanian","24","3","1","2","3","300","3","1000","4","13000","120","1155","0","2","2b","1","5","5","72","","60","40","0","0","0","1","","2","1","1","","","3","2","3","1","0","715","0","Well data.
300 m thick, 1000 m wide and 13 km long.","Israel","31.6","34.65","","8.8689937641","28.1429169212","9.04263","29.3072"
"93.90","100.50","1158","Zikhron","","Cretaceous","Upper Cretaceous","upper Cenomanian","24","3","0","2","2","50","","","4","","20","","0","2","2b","1","5","5","72","","50","50","0","0","0","1","","2","1","1","","","3","2","3","1","0","715","1775","Two levels, 40 and 50 m thick, respectively.","Israel","32.5667","34.95","","10.903209354","28.4310244132","11.3113","29.0357"
"89.80","93.90","1159","Northern Carmel","","Cretaceous","Upper Cretaceous","Turonian","25","2","0","2","2","","","","4","","120","","0","2","2a","1","5","5","72","","60","40","0","0","0","1","","2","1","1","","","3","2","2","1","0","715","1775","Maximum thickness 160 m.
Mainly built by Ichthyosarcolites and chondrodonts
Note: Ichthyosarcolites should be extinct at Cenomanien-Turonian boundary","Israel","32.7","35","","12.8402011608","28.8525294727","13.1847","29.2026"
"393.30","419.20","1160","Shishkat","","Devonian","Lower Devonian","Lower Devonian","8","1","0","4","2","","","","3","","","","0","1","1d","1","1","4","9","","60","0","40","0","0","3","","2","","","","","3","","2","0","0","716","0","Organogenic-detrital bedded limestones with very rich fauna:
Corals, stromatopores, brachiopods, crinoids, algae.
Near shore deposition with abundant terrigenous clastics.","Tajikistan","39.1667","68.6667","76914","24.0210921855","15.3031597519","4.55047","49.3685"
"5.30","11.60","1161","Farsan Islands, Red Sea","","Neogene","Miocene","Upper Miocene","32","1","0","1","2","","","","3","","50","","0","2","2c","1","1","2","1","1","0","70","30","0","0","","","1","","","","","","","","0","0","717","0","No age given.
Uplifted up to 75 m above seal level. 
Marls below contain Operculina complanata.
Fish-Diatom marls at base.","Saudi Arabia","16.6667","41.8333","","14.2220230244","40.0615343472","15.3315","40.1705"
"5.30","11.60","1162","Jizan","","Neogene","Miocene","Upper Miocene","32","1","0","1","1","","","","2","","","","0","1","1d","1","1","2","1","1","0","70","30","0","0","","","1","","","","","","","","0","0","717","0","Reef limestones thin, with Ostrea turbinata.
No age given.
Below are marly limestones and gypsum beds, dated as Miocene.
Sandstones at base are probably Cretaceous.","Saudi Arabia","16.9333","42.55","","14.4434574629","40.7860761774","15.5683","40.8936"
