"accepted_genus","family","genus","coloniality","n","source","description"
"Leonardophyllum","Verbeekiellidae","Leonardophyllum","solitary",6,"",""
"Agarikophyllum","Verbeekiellidae","Agarikophyllum","solitary",1,"",""
"Zeliaphyllum","Verbeekiellidae","Zeliaphyllum","solitary",0,"",""
"Waagenophyllum","Waagenophyllidae","Waagenophyllum","colonial",217,"",""
"Polythecalis","Waagenophyllidae","Polythecalis","colonial",128,"",""
"Ipciphyllum","Waagenophyllidae","Ipciphyllum","colonial",121,"",""
"Wentzellophyllum","Waagenophyllidae","Wentzellophyllum","colonial",54,"https://doi.org/10.1144/SP450.13","colonial"
"Szechuanophyllum","Waagenophyllidae","Szechuanophyllum","colonial",49,"https://doi.org/10.1144/SP450.13","colonial"
"Pseudohuangia","Waagenophyllidae","Pseudohuangia","colonial",40,"",""
"Wentzelella","Waagenophyllidae","Wentzelella","colonial",37,"",""
"Iranophyllum","Waagenophyllidae","Iranophyllum","solitary",27,"",""
"Wentzelophyllum","Waagenophyllidae","Wentzelophyllum","colonial",26,"",""
"Parawentzelella","Waagenophyllidae","Parawentzelella","colonial",22,"",""
"Pseudocarniaphyllum","Waagenophyllidae","Pseudocarniaphyllum","solitary",18,"",""
"Paraipciphyllum","Waagenophyllidae","Paraipciphyllum","colonial",17,"",""
"Wentzelloides","Waagenophyllidae","Wentzelloides","colonial",17,"",""
"Lonsdaleiastraea","Waagenophyllidae","Lonsdaleiastraea","colonial",16,"",""
"Praewentzelella","Waagenophyllidae","Praewentzelella","colonial",15,"",""
"Thomasiphyllum","Waagenophyllidae","Thomasiphyllum","solitary",15,"",""
"Akagophyllum","Waagenophyllidae","Akagophyllum","colonial",13,"",""
"Pavastehphyllum","Waagenophyllidae","Pavastehphyllum","solitary",12,"",""
"Multimurinus","Waagenophyllidae","Multimurinus","colonial",10,"",""
"Pseudopolythecalis","Waagenophyllidae","Pseudopolythecalis","colonial",10,"",""
"Wentzelellites","Waagenophyllidae","Wentzelellites","colonial",10,"",""
"Chuanshanophyllum","Waagenophyllidae","Chuanshanophyllum","solitary",6,"under Pavastehphyllum (Pseudocarniaphyllum)","solitary"
"Miyagiella","Waagenophyllidae","Miyagiella","colonial",6,"",""
"Monothecalis","Waagenophyllidae","Monothecalis","colonial",6,"https://doi.org/10.1144/SP450.13","colonial"
"Heritschiella","Waagenophyllidae","Heritschiella","colonial",4,"",""
"Huangia","Waagenophyllidae","Huangia","colonial",4,"",""
"Xizangophyllum","Waagenophyllidae","Xizangophyllum","colonial",3,"https://doi.org/10.1144/SP450.13","colonial"
"Aridophyllum","Waagenophyllidae","Aridophyllum","",2,"",""
"Chihsiaphyllum","Waagenophyllidae","Chihsiaphyllum","",2,"",""
"Peiraphyllum","Waagenophyllidae","Peiraphyllum","",2,"",""
"Vesotabularia","Waagenophyllidae","Vesotabularia","",2,"",""
"Zhurihephyllum","Waagenophyllidae","Zhurihephyllum","",2,"",""
"Carinowaagenophyllum","Waagenophyllidae","Carinowaagenophyllum","",1,"",""
"Chombungia","Waagenophyllidae","Chombungia","",1,"",""
"Gyanyimaphyllum","Waagenophyllidae","Gyanyimaphyllum","",1,"",""
"Maoyingophyllum","Waagenophyllidae","Maoyingophyllum","",1,"",""
"Monsteraphyllum","Waagenophyllidae","Monsteraphyllum","",1,"",""
"Parairanophylloides","Waagenophyllidae","Parairanophylloides","",1,"",""
"Qinglongshanophyllum","Waagenophyllidae","Qinglongshanophyllum","",1,"",""
"Xainzaphyllum","Waagenophyllidae","Xainzaphyllum","",1,"",""
"Chielasma","Waagenophyllidae","Chielasma","solitary",0,"",""
"Houchangophyllum","Waagenophyllidae","Houchangophyllum","",0,"",""
"Symmetrites","Waagenophyllidae","Symmetrites","",0,"",""
"Yatsengia","Yatsengiidae","Yatsengia","colonial",70,"",""
"Lasmophyllum","Yatsengiidae","Lasmophyllum","",3,"",""
"Arachnastraea","Yatsengiidae","Arachnastraea","colonial",2,"",""
"Donophyllum","Yatsengiidae","Donophyllum","colonial",1,"",""
"Heliophyllum","Zaphrentidae","Heliophyllum","both",184,,"Solitary or weakly fasciculate ?(and astreoid"
"Zaphrenthis","Zaphrentidae","Zaphrenthis","solitary",131,"",""
"Phymatophyllum","Zaphrentidae","Phymatophyllum","solitary",2,"",""
"Aemulophyllum","Zaphrentidae","Aemulophyllum","solitary",1,"",""
"Cyathocylindrium","Zaphrentidae","Cyathocylindrium","colonial",1,"",""
"Sychnoelasma","Zaphrentoididae","Sychnoelasma","solitary",63,"",""
"Zaphrentoides","Zaphrentoididae","Zaphrentoides","solitary",22,"",""
"Homalophyllites","Zaphrentoididae","Homalophyllites","solitary",16,"",""
"Saharaphrentis","Zaphrentoididae","Saharaphrentis","solitary",2,"",""
"Ankhelasma","Zaphrentoididae","Ankhelasma","solitary",1,"",""
"Fasciculiamplexus","Zaphrentoididae","Fasciculiamplexus","solitary",1,"",""
"Basleophyllum","Zaphrentoididae","Basleophyllum","solitary",0,"",""
"Cumminsia","Zaphrentoididae","Cumminsia","solitary",0,"",""
"Dipterophyllum","Zaphrentoididae","Dipterophyllum","solitary",0,"",""
"Stummelasma",,"Stummelasma","",19,"",""
"Sutherlandia",,"Sutherlandia","solitary",8,,"no integration mentioned"
"Paraceriaster",,"Paraceriaster","colonial",6,"Wang, GuangXu, et al. ""Paleoecological associations of middle Llandovery (Silurian) corals from Huaying Mountain, eastern Sichuan Province."" Science China Earth Sciences 56 (2013): 640-646.","fasciculate"
"Praetachylasma",,"Praetachylasma","solitary",5,"https://doi.org/10.1144/SP450.13","solitary"
"Pseudoamplexus",,"Pseudoamplexus","solitary",5,"",""
"Asarcophyllum",,"Asarcophyllum","colonial",4,"Pedder, A. E. H. ""New and revised Lower Devonian Rugosa from western North America and Tasmania."" Journal of Paleontology (1998): 224-245.","fasciculate"
"Cuctienophyllum",,"Cuctienophyllum","",4,"",""
"Orthophyllum",,"Orthophyllum","solitary",4,"",""
"Agastophyllum",,"Agastophyllum","",3,"",""
"Cystihexagonaria",,"Cystihexagonaria","",3,"",""
"Duplocarinia",,"Duplocarinia","solitary",3,"https://doi.org/10.1144/SP450.13","solitary"
"Enallophrentis",,"Enallophrentis","",3,"",""
"Texturiphyllum",,"Texturiphyllum","",3,"",""
"Thryptophyllum",,"Thryptophyllum","",3,"",""
"Wexolina",,"Wexolina","",3,"",""
"Dinostrophinx",,"Dinostrophinx","",2,"",""
"Macgea",,"Macgea","",2,"",""
"Radiastrea",,"Radiastrea","",2,"",""
"Stellatophyl1um",,"Stellatophyl1um","colonial",2,,"cerioid"
"Stereodepasophyllum",,"Stereodepasophyllum","",2,"",""
"Xiangzhouphyllum",,"Xiangzhouphyllum","",2,"unknown in treatise",""
"Alinkioduncanella",,"Alinkioduncanella","",1,"",""
"Allotropiocarinophyllum",,"Allotropiocarinophyllum","",1,"",""
"Botrophyllum",,"Botrophyllum","",1,"",""
"Cardiaphyllum",,"Cardiaphyllum","",1,"",""
"Conilophyllum",,"Conilophyllum","",1,"",""
"Cystodactylon",,"Cystodactylon","",1,"",""
"Diversiphyllum",,"Diversiphyllum","",1,"",""
"Eastonastraea",,"Eastonastraea","",1,"",""
"Ellesmerelasma",,"Ellesmerelasma","",1,"",""
"Fedorowskiella",,"Fedorowskiella","",1,"",""
"Gaofengophyllum",,"Gaofengophyllum","",1,"",""
"Geyeronaotia",,"Geyeronaotia","",1,"",""
"Gudmania",,"Gudmania","",1,"",""
"Gymnophyllum",,"Gymnophyllum","solitary",1,"",""
"Joachimastraea",,"Joachimastraea","",1,"",""
"Lomaphyllum",,"Lomaphyllum","",1,"",""
"Mictocystoides",,"Mictocystoides","",1,"",""
"Nanophyllum",,"Nanophyllum","",1,"",""
"Neogrootia",,"Neogrootia","",1,"",""
"Parasiphonophyllia",,"Parasiphonophyllia","",1,"",""
"Parasunophyllum",,"Parasunophyllum","",1,"",""
"Parvaxon",,"Parvaxon","",1,"",""
"Peronophyllum",,"Peronophyllum","",1,"",""
"Puanophyllum",,"Puanophyllum","",1,"",""
"Rhytidolasma",,"Rhytidolasma","",1,"",""
"Sokoloviella",,"Sokoloviella","",1,"",""
"Solominella",,"Solominella","",1,"",""
"Stellaphyllia",,"Stellaphyllia","",1,"",""
"Timanophyllum",,"Timanophyllum","",1,"",""
"Trigonella",,"Trigonella","",1,"",""
"Turbinatocanina",,"Turbinatocanina","",1,"",""
"Veraephyllum",,"Veraephyllum","",1,"",""
"Volgerophyllum",,"Volgerophyllum","",1,"",""
"Weyerelasma",,"Weyerelasma","",1,"",""
"Yishanophyllum",,"Yishanophyllum","",1,"",""
"Zenophilia",,"Zenophilia","",1,"",""
"Acanthophillia",,"Acanthophillia","",0,"",""
"Accurganaxon",,"Accurganaxon","",0,"",""
"Adinophyllum",,"Adinophyllum","",0,"",""
"Anactolasma",,"Anactolasma","solitary",0,"Pedder, A. E. H. ""New and revised Lower Devonian Rugosa from western North America and Tasmania."" Journal of Paleontology (1998): 224-245.","solitary"
"Antracophyllum",,"Antracophyllum","",0,"",""
"Aphroelasma",,"Aphroelasma","",0,"",""
"Arcocyathus",,"Arcocyathus","",0,"",""
"Arcoplasma",,"Arcoplasma","",0,"",""
"Asterodisphyllum",,"Asterodisphyllum","",0,"",""
"Astraeophyllum",,"Astraeophyllum","colonial",0,"",""
"Asturiphyllum",,"Asturiphyllum","",0,"",""
"Aulostrotion",,"Aulostrotion","",0,"",""
"Axinura",,"Axinura","",0,"",""
"Axocricophyllum",,"Axocricophyllum","",0,"",""
"Barbouria",,"Barbouria","",0,"",""
"Bathybalva",,"Bathybalva","",0,"",""
"Belgradeophyllum",,"Belgradeophyllum","solitary",0,"",""
"Beogradophyllum",,"Beogradophyllum","solitary",0,"",""
"Brochiphyllum",,"Brochiphyllum","",0,"",""
"Calinastrea",,"Calinastrea","",0,"",""
"Campsactis",,"Campsactis","",0,"",""
"Cavilasma",,"Cavilasma","",0,"",""
"Cerioelasma",,"Cerioelasma","",0,"",""
"Ceriphyllum",,"Ceriphyllum","",0,"",""
"Ceristella",,"Ceristella","",0,"",""
"Changjianggouphyllum",,"Changjianggouphyllum","",0,"",""
"Charisphyllum",,"Charisphyllum","",0,"",""
"Choanoplasma",,"Choanoplasma","",0,"",""
"Complanophyllum",,"Complanophyllum","",0,"",""
"Crassophrentis",,"Crassophrentis","",0,"",""
"Crateniophyllum",,"Crateniophyllum","",0,"",""
"Crepidophyllia",,"Crepidophyllia","",0,"",""
"Curtastrum",,"Curtastrum","",0,"",""
"Cyanaphyllum",,"Cyanaphyllum","",0,"",""
"Cystocantrilla",,"Cystocantrilla","",0,"",""
"Cystolyrielasma",,"Cystolyrielasma","",0,"",""
"Cystostylus",,"Cystostylus","",0,"",""
"Cyttaroplasma",,"Cyttaroplasma","",0,"",""
"Dichophyllia",,"Dichophyllia","",0,"",""
"Dimelasma",,"Dimelasma","",0,"",""
"Duncania",,"Duncania","solitary",0,"",""
"Elasmophyllum",,"Elasmophyllum","solitary",0,"",""
"Ellipsocyathus",,"Ellipsocyathus","",0,"",""
"Entelophyllia",,"Entelophyllia","",0,"",""
"Ericina",,"Ericina","",0,"",""
"Exostega",,"Exostega","",0,"",""
"Famaxonia",,"Famaxonia","",0,"",""
"Fomichivella",,"Fomichivella","",0,"",""
"Fossaphyllia",,"Fossaphyllia","",0,"",""
"Fromeophyllum",,"Fromeophyllum","",0,"",""
"Fruehwirthia",,"Fruehwirthia","",0,"",""
"Gazimuria",,"Gazimuria","solitary",0,"",""
"Gorskyella",,"Gorskyella","",0,"",""
"Gubbera",,"Gubbera","",0,"",""
"Gurieuskiella",,"Gurieuskiella","",0,"",""
"Hapsizaphrentis",,"Hapsizaphrentis","",0,"",""
"Haptaphyllina",,"Haptaphyllina","",0,"",""
"Hebukophyllum",,"Hebukophyllum","",0,"",""
"Hezhouphyllum",,"Hezhouphyllum","",0,"",""
"Hinganastraea",,"Hinganastraea","",0,"",""
"Honggulosma",,"Honggulosma","",0,"",""
"Huananaxonia",,"Huananaxonia","",0,"",""
"Indiophyllum",,"Indiophyllum","",0,"",""
"Insoliphyllum",,"Insoliphyllum","colonial",0,"",""
"Ipsiphyllum",,"Ipsiphyllum","",0,"",""
"Jipaolasma",,"Jipaolasma","",0,"",""
"Keimanelasma",,"Keimanelasma","",0,"",""
"Kenelasma",,"Kenelasma","",0,"",""
"Koninckocarina",,"Koninckocarina","",0,"",""
"Kowalaephyllum",,"Kowalaephyllum","",0,"",""
"Kullmannophyllum",,"Kullmannophyllum","",0,"",""
"Lesliella",,"Lesliella","",0,"",""
"Leurelasma",,"Leurelasma","",0,"",""
"Litvolasma",,"Litvolasma","",0,"",""
"Longlinophyllia",,"Longlinophyllia","",0,"",""
"Lyliophyllum",,"Lyliophyllum","solitary",0,"",""
"Majiaobaphyllum",,"Majiaobaphyllum","",0,"",""
"Mecloudius",,"Mecloudius","",0,"",""
"Miroelasma",,"Miroelasma","",0,"",""
"Murphyphyllum",,"Murphyphyllum","solitary",0,"Pedder, A. E. H. ""New and revised Lower Devonian Rugosa from western North America and Tasmania."" Journal of Paleontology (1998): 224-245.","trocoid"
"Neepaliphyllum",,"Neepaliphyllum","",0,"",""
"Neoaspongophyllum",,"Neoaspongophyllum","",0,"",""
"Neocantrilla",,"Neocantrilla","",0,"",""
"Neoclissiophyllum",,"Neoclissiophyllum","",0,"",""
"Neokeyserlingophyllum",,"Neokeyserlingophyllum","",0,"",""
"Neopetrozium",,"Neopetrozium","",0,"",""
"Neostringophylloides",,"Neostringophylloides","",0,"",""
"Neotemnophyllum",,"Neotemnophyllum","",0,"",""
"Ninghuaphyllum",,"Ninghuaphyllum","",0,"",""
"Nordastrea",,"Nordastrea","",0,"",""
"Novichuskia",,"Novichuskia","",0,"",""
"Paracannia",,"Paracannia","",0,"",""
"Paracolumnaria",,"Paracolumnaria","",0,"",""
"Paradoxaphyllia",,"Paradoxaphyllia","",0,"",""
"Paramixogonaria",,"Paramixogonaria","",0,"",""
"Parasterophrentis",,"Parasterophrentis","",0,"",""
"Parathysanophyllum",,"Parathysanophyllum","",0,"",""
"Parazolophyllia",,"Parazolophyllia","",0,"",""
"Pentaphyllia",,"Pentaphyllia","",0,"",""
"Phacelloplasma",,"Phacelloplasma","",0,"",""
"Phineus",,"Phineus","solitary",0,"",""
"Pleurophyllum",,"Pleurophyllum","",0,"",""
"Polaroplasma",,"Polaroplasma","",0,"",""
"Poliphyllum",,"Poliphyllum","",0,"",""
"Polyadelphia",,"Polyadelphia","",0,"",""
"Polydilasma",,"Polydilasma","",0,"",""
"Polygonaria",,"Polygonaria","",0,"",""
"Polyrophe",,"Polyrophe","",0,"",""
"Polythecalloides",,"Polythecalloides","",0,"",""
"Pristiophyllia",,"Pristiophyllia","",0,"",""
"Protoaulacophyllum",,"Protoaulacophyllum","",0,"",""
"Protocaninia",,"Protocaninia","",0,"",""
"Protocarcinophyllum",,"Protocarcinophyllum","",0,"",""
"Protocyathophyllum",,"Protocyathophyllum","",0,"",""
"Protowentzellia",,"Protowentzellia","",0,"",""
"Pseudallotropiophyllum",,"Pseudallotropiophyllum","",0,"",""
"Pseudoamygdalophyllum",,"Pseudoamygdalophyllum","",0,"",""
"Pseudomicrocroplasma",,"Pseudomicrocroplasma","",0,"",""
"Pseudorhabdophyllum",,"Pseudorhabdophyllum","",0,"",""
"Qinlingophyllum",,"Qinlingophyllum","",0,"",""
"Quadratiphyllia",,"Quadratiphyllia","",0,"",""
"Rachaniephyllum",,"Rachaniephyllum","",0,"",""
"Radiciphyllia",,"Radiciphyllia","",0,"",""
"Reimanelasma",,"Reimanelasma","",0,"",""
"Rhipidophyllum",,"Rhipidophyllum","solitary",0,"",""
"Ridderia",,"Ridderia","solitary",0,"",""
"Rozkowskaella",,"Rozkowskaella","",0,"",""
"Schlueteriphylum",,"Schlueteriphylum","",0,"",""
"Schreteria",,"Schreteria","solitary",0,"",""
"Segdianophyllum",,"Segdianophyllum","",0,"",""
"Shansiphyllum",,"Shansiphyllum","",0,"",""
"Sigelophyllum",,"Sigelophyllum","",0,"",""
"Soetenia",,"Soetenia","",0,"",""
"Sphaerophyllum",,"Sphaerophyllum","",0,"",""
"Spissophyllum",,"Spissophyllum","",0,"",""
"Spongastraea",,"Spongastraea","",0,"",""
"Spongielasma",,"Spongielasma","",0,"",""
"Stegophyllum",,"Stegophyllum","",0,"",""
"Stereodespasophyllum",,"Stereodespasophyllum","",0,"",""
"Stereophrentis",,"Stereophrentis","",0,"",""
"Stilbophyllum",,"Stilbophyllum","",0,"",""
"Stringophylloides",,"Stringophylloides","",0,"",""
"Subutaratuia",,"Subutaratuia","",0,"",""
"Taiziheophyllum",,"Taiziheophyllum","",0,"",""
"Taruphyllum",,"Taruphyllum","",0,"",""
"Tetrafossularia",,"Tetrafossularia","",0,"",""
"Thololasma",,"Thololasma","",0,"",""
"Thoulelasma",,"Thoulelasma","",0,"",""
"Thuliocyclus",,"Thuliocyclus","",0,"",""
"Thuriantha",,"Thuriantha","",0,"",""
"Thyryptophyllum",,"Thyryptophyllum","",0,"",""
"Tjanshanophyllum",,"Tjanshanophyllum","",0,"",""
"Trachylasma",,"Trachylasma","",0,"",""
"Triphyllia",,"Triphyllia","",0,"",""
"Truncicarinulum",,"Truncicarinulum","",0,"",""
"Trypacystiphyllum",,"Trypacystiphyllum","",0,"",""
"Tumanophyllum",,"Tumanophyllum","",0,"",""
"Tumsucophyllum",,"Tumsucophyllum","",0,"",""
"Ulanophyllum",,"Ulanophyllum","",0,"",""
"Vepresisociophyllum",,"Vepresisociophyllum","",0,"",""
"Vischeria",,"Vischeria","colonial",0,"",""
"Vojnovskija",,"Vojnovskija","",0,"",""
"Weiningophyllum",,"Weiningophyllum","",0,"",""
"Wenxianophyllum",,"Wenxianophyllum","",0,"",""
"Yanbianophyllum",,"Yanbianophyllum","",0,"",""
"Yurievstiella",,"Yurievstiella","",0,"",""
"Zelocystiphyllum",,"Zelocystiphyllum","",0,"",""
"Zhushanophyllum",,"Zhushanophyllum","",0,"",""
