Interval,max.ma,min.ma,reef_bin,r.stage,r.stage2,s.seq,stg100,stg100.2,stg99,stg99.2,System
Neoproterozoic,1000,542,NA,1,1,0,1,1,1,1,Ediacaran
Riphean,850,720,NA,1,1,0,1,1,1,1,Ediacaran
late Xifengshi epoch,800,542,1,2,3,0,2,3,2,3,Ediacaran
Dengying epoch,635,541,1,2,3,0,2,3,2,3,Ediacaran
Ediacaran,635,541,1,2,3,0,2,3,2,3,Ediacaran
Hadrynian,635,541,1,1,2,0,1,2,1,2,Ediacaran
Vendian,635,541,1,3,3,0,3,3,3,3,Ediacaran
upper Ediacaran,635,541,1,3,3,0,3,3,3,3,Ediacaran
middle Ediacaran,635,541,1,3,3,0,3,3,3,3,Ediacaran
Nemakit-Daldynian,541,529,2,4,4,1,4,4,4,4,Cambrian
pre-Tommotian,541,529,2,4,4,1,4,4,4,4,Cambrian
Cambrian,541,485.4,NA,NA,NA,NA,NA,NA,NA,NA,Cambrian
lower Cambrian,529,521,3,NA,NA,1,NA,NA,NA,NA,Cambrian
Lower Cambrian,529,521,3,NA,NA,1,NA,NA,NA,NA,Cambrian
Tommotian,529,521,3,5,5,1,5,5,5,5,Cambrian
upper Tommotian,529,521,3,5,5,1,5,5,5,5,Cambrian
lower Tommotian,529,521,3,5,5,1,5,5,5,5,Cambrian
Tommotian/Atdabanian,529,514,3,6,6,1,6,6,6,6,Cambrian
upper Ovetian,529,509,3,6,6,1,6,6,6,6,Cambrian
Atdabanian,521,514,3,6,6,1,6,6,6,6,Cambrian
upper Atdabanian,521,514,3,6,6,1,6,6,6,6,Cambrian
lower Atdabian,521,514,3,6,6,1,6,6,6,6,Cambrian
lower Atdabanian,521,514,3,6,6,1,6,6,6,6,Cambrian
Atdabanian/Botomian,521,514,3,6,7,1,6,7,6,7,Cambrian
Atdabanian-Botomian,521,509,3,6,7,1,7,7,7,7,Cambrian
Lenian,521,509,3,6,7,1,6,7,6,7,Cambrian
Lenian-Amgaian,521,509,3,6,8,1,6,8,6,8,Cambrian
Tianheban epoch,521,509,3,NA,NA,1,NA,NA,NA,NA,Cambrian
late Shuijingtou epoch,521,505,3,7,7,1,7,7,7,7,Cambrian
Botomian,514,509,3,7,7,1,7,7,7,7,Cambrian
lower Botomian,514,509,3,7,7,1,7,7,7,7,Cambrian
middle Botomian,514,509,3,7,7,1,7,7,7,7,Cambrian
upper Botomian,514,509,3,7,7,1,7,7,7,7,Cambrian
late Botomian-early Toyonian,514,509,3,7,7,1,7,7,7,7,Cambrian
Botomian-Toyonian,514,509,3,7,7,1,7,7,7,7,Cambrian
late Botomian-Toyonian,514,509,3,7,7,1,7,7,7,7,Cambrian
upper Botomian-Toyonian,514,509,3,7,7,1,7,7,7,7,Cambrian
Toyonian,514,509,3,7,7,1,7,7,7,7,Cambrian
Toyonian?,514,509,3,7,7,1,7,7,7,7,Cambrian
late Botomian,514,509,3,7,7,1,7,7,7,7,Cambrian
Maentwrogian,497,494,3,11,11,2,11,11,11,11,Cambrian
upper Botomian - Toyonian,514,504.5,3,7,7,1,7,7,7,7,Cambrian
lower Middle Cambrian,509,505,4,8,8,2,8,8,8,8,Cambrian
early Middle Cambrian,509,505,4,8,8,2,8,8,8,8,Cambrian
Middle Cambrian,509,497,4,8,10,2,8,10,8,10,Cambrian
middle Middle Cambrian,509,497,4,9,9,2,9,9,9,9,Cambrian
Middle/Upper Cambrian,509,485,4,10,11,2,10,11,10,11,Cambrian
Middle-Upper Cambrian,509,485,4,10,11,2,10,11,10,11,Cambrian
Albertan,509,497,4,8,9,2,8,9,8,9,Cambrian
Amgan,509,497,4,8,8,2,8,8,8,8,Cambrian
Menevian,509,500.5,4,9,10,2,9,10,9,10,Cambrian
upper Middle Cambrian,505,501,4,10,10,2,10,10,10,10,Cambrian
Marjuman,504,500.5,4,9,10,2,9,10,9,10,Cambrian
Marjumian,504,500.5,4,9,10,2,9,10,9,10,Cambrian
Mayan,500.5,497,4,10,10,2,10,10,10,10,Cambrian
Gushanian,500.5,497,5,11,11,2,11,11,11,11,Cambrian
latest Marjumian-Steptoan,497,493,4,10,10,2,10,10,10,10,Cambrian
Dresbachian,497,494,5,11,11,2,11,11,11,11,Cambrian
Middle- Dresbachian,497,494,5,11,11,2,11,11,11,11,Cambrian
upper Dresbachian,497,494,5,11,12,2,11,12,11,12,Cambrian
Middle-Dresbachian,497,494,5,11,11,2,11,11,11,11,Cambrian
lower Upper Cambrian,497,491,5,11,11,2,11,11,11,11,Cambrian
Upper Cambrian,497,485,5,11,13,3,11,13,11,13,Cambrian
Millardan,497,485,5,11,13,3,11,13,11,13,Cambrian
Croixian-Tremadocian,497,477.7,5,13,14,3,13,14,13,14,Cambrian
Steptoan,494.5,493,5,12,12,2,12,12,12,12,Cambrian
Steptoan-Sunwaptan,494.5,491,5,12,13,3,12,13,12,13,Cambrian
Steptoean,494.5,493,5,12,12,2,12,12,12,12,Cambrian
lower Steptoan,494.5,493,5,12,12,2,12,12,12,12,Cambrian
Trempealeauan,493,485.4,4,13,13,3,13,13,13,13,Cambrian
Sunwaptan,493,491,5,12,13,3,12,13,12,13,Cambrian
Sunwaptan?,493,491,5,12,13,3,12,13,12,13,Cambrian
Sunwaptan-Ibexian,493,491,5,12,13,3,12,13,12,13,Cambrian
lowermost Sunwaptan,493,491,5,12,12,3,12,12,12,12,Cambrian
Fengshanian,493,491,6,13,13,3,13,13,13,13,Cambrian
Ibexian,485.4,475,6,13,14,3,13,14,13,14,Ordovician
lower Ibexian,485.4,480,6,13,14,3,13,14,13,14,Ordovician
upper Ibexian,485.4,477.7,6,14,14,3,14,14,14,14,Ordovician
lower Canadian,485.4,477.7,6,14,14,3,14,14,14,14,Ordovician
Lower Canadian,485.4,477.7,6,14,14,3,14,14,14,14,Ordovician
Gasconadian,485.4,477.7,6,14,14,3,14,14,14,14,Ordovician
middle Tremadoc,485.4,477.7,6,14,14,3,14,14,14,14,Ordovician
early-mid Tremadocian,485.4,477.7,6,14,14,3,14,14,14,14,Ordovician
middle-upper Tremadocian,485.4,477.7,6,14,14,3,14,14,14,14,Ordovician
Tremadocian,485.4,477.7,6,14,14,3,14,14,14,14,Ordovician
upper Tremadocian,485.4,477.7,6,14,14,3,14,14,14,14,Ordovician
Trempealeauan-Tremadocian,485.4,477.7,6,13,14,3,13,14,13,14,Ordovician
lower Ordovician,485.4,470,NA,NA,NA,3,NA,NA,NA,NA,Ordovician
Lower Ordovician,485.4,470,NA,NA,NA,3,NA,NA,NA,NA,Ordovician
mid-late Canadian,477.7,470,6,15,15,3,15,15,15,15,Ordovician
Arenig,477.7,470,7,15,16,4,15,16,15,16,Ordovician
Arenigian,477.7,470,7,15,16,4,15,16,15,16,Ordovician
lower Arenigian,477.7,470,7,15,15,4,15,15,15,15,Ordovician
upper Arenigian,477.7,470,7,15,15,4,15,15,15,15,Ordovician
Floian,477.7,470,7,15,15,4,15,15,15,15,Ordovician
Upper Lower Ordovician?,477.7,470,7,15,15,4,15,15,15,15,Ordovician
Arenigian-Llanvirnian,472,468,7,15,16,4,15,16,15,16,Ordovician
upper Arenigian-Llanvirnian,472,468,7,16,16,4,16,16,16,16,Ordovician
Dapingian,470,467.3,7,16,16,4,16,16,16,16,Ordovician
Volkhovian,470,467.3,7,16,16,4,16,16,16,16,Ordovician
Whiterockian,470,467.3,7,16,16,4,16,16,16,16,Ordovician
lower Middle Ordovician,470,467.3,7,16,16,4,16,16,16,16,Ordovician
Middle Ordovician,470,458.4,8,16,17,4,16,17,16,17,Ordovician
upper Whiterockian,469,467.3,8,16,16,4,16,16,16,16,Ordovician
Chazyan,467.3,458.4,8,17,17,5,17,17,17,17,Ordovician
late Chazyan,467.3,458.4,8,17,17,5,17,17,17,17,Ordovician
lower Chazyan,467.3,458.4,8,17,17,5,17,17,17,17,Ordovician
upper Chazyan,467.3,458.4,8,17,17,5,17,17,17,17,Ordovician
Darriwilian,467.3,458.4,8,17,17,5,17,17,17,17,Ordovician
early Darriwilian,467.3,458.4,8,17,17,5,17,17,17,17,Ordovician
lower middle Darriwilian,467.3,458.4,8,17,17,5,17,17,17,17,Ordovician
Darriwilian-Caradocian,467.3,458.4,8,17,19,5,17,19,17,19,Ordovician
Llandeilo,467.3,458.4,8,17,17,5,17,17,17,17,Ordovician
Llanvirnian,467.3,458.4,8,17,17,5,17,17,17,17,Ordovician
lower Darriwilian,467.3,458.4,8,17,17,5,17,17,17,17,Ordovician
Caradocian-Ashgillian,467.3,445.2,9,18,19,5,18,19,18,19,Ordovician
Gisbornian-Eastonian,460.9,450,9,18,18,5,18,18,18,18,Ordovician
Blackriverian,458.4,467.3,9,18,18,5,18,18,18,18,Ordovician
Sandbian,458.4,453,9,18,18,5,18,18,18,18,Ordovician
Upper Ordovician,458.4,443.4,NA,NA,NA,5,NA,NA,NA,NA,Ordovician
Caradocian,458,451,9,18,19,5,18,19,18,19,Ordovician
early Caradocian,458,453,9,18,18,5,18,18,18,18,Ordovician
lower Caradocian,458,453,9,18,18,5,18,18,18,18,Ordovician
lower-middle Caradocian,458,452,9,18,18,5,18,18,18,18,Ordovician
Eastonian,457,451,9,18,18,5,18,18,18,18,Ordovician
middle Caradocian,455,452,9,18,18,5,18,18,18,18,Ordovician
middle-late Caradocian,455,451,9,19,19,5,19,19,19,19,Ordovician
middle-upper Caradocian,455,451,9,19,19,5,19,19,19,19,Ordovician
late Caradocian,453,451,9,19,19,5,19,19,19,19,Ordovician
upper Caradocian,453,451,9,19,19,5,19,19,19,19,Ordovician
Edenian,453,445.2,9,19,19,5,19,19,19,19,Ordovician
early Katian,453,445.2,9,19,19,5,19,19,19,19,Ordovician
Katian,453,445.2,9,19,19,5,19,19,19,19,Ordovician
late Katian,453,445.2,10,19,19,5,19,19,19,19,Ordovician
Rawtheyan,453,445.2,10,19,19,5,19,19,19,19,Ordovician
late Richmondian,453,445.2,10,19,19,5,19,19,19,19,Ordovician
mid-late Richmondian,453,445.2,10,19,19,5,19,19,19,19,Ordovician
Richmondian,453,445.2,10,19,19,5,19,19,19,19,Ordovician
Ashgill,453,445.2,10,19,20,5,19,20,19,20,Ordovician
lower-middle Ashgillian,453,445.2,10,19,19,5,19,19,19,19,Ordovician
Rawtheyan-Hirnantian,453,443.4,10,20,20,5,20,20,20,20,Ordovician
Ashgillian,451,445.2,10,19,20,5,19,20,19,20,Ordovician
early Ashgillian,451,445.2,10,19,19,5,19,19,19,19,Ordovician
lower Ashgillian,451,445.2,10,19,19,5,19,19,19,19,Ordovician
middle Ashgillian,451,445.2,10,19,19,5,19,19,19,19,Ordovician
upper Ashgillian,450,445.2,10,20,20,5,20,20,20,20,Ordovician
Gamachean,445.2,443.4,10,19,19,5,19,19,19,19,Ordovician
Hirnantian,445.2,443.4,10,20,20,5,20,20,20,20,Ordovician
lower Hirnantian,445.2,443.4,10,20,20,5,20,20,20,20,Ordovician
middle Rhuddanian,443.4,440.8,11,21,21,6,21,21,21,21,Silurian
Rhuddanian,443.4,440.8,11,21,21,6,21,21,21,21,Silurian
upper Rhuddanian,443.4,440.8,11,21,21,6,21,21,21,21,Silurian
Rhuddanian?,443.4,440.8,11,21,21,6,21,21,21,21,Silurian
lower Llandoverian,443.4,433.4,11,21,21,6,21,21,21,21,Silurian
late Llandovery,443.4,433.4,11,23,23,6,23,23,23,23,Silurian
Llandovery,443.4,433.4,11,21,23,6,21,23,21,23,Silurian
upper Llandovery,443.4,433.4,11,23,23,6,23,23,23,23,Silurian
upper(?) Llandovery,443.4,433.4,11,22,23,6,22,23,22,23,Silurian
Llandovery/Wenlock,443.4,427.4,11,NA,NA,6,23,25,23,25,Silurian
Llandovery-Wenlock,443.4,427.4,11,NA,NA,6,23,25,23,25,Silurian
Silurian,443.4,419.2,NA,NA,NA,NA,NA,NA,NA,NA,Silurian
Aeronian,440.8,438.5,11,22,22,6,22,22,22,22,Silurian
middle Aeronian,440.8,438.5,11,22,22,6,22,22,22,22,Silurian
upper Aeronian,440.8,438.5,11,23,23,6,23,23,23,23,Silurian
Aeronian?,440.8,438.5,11,22,22,6,22,22,22,22,Silurian
Aeronian-Telychian,440.8,433.4,11,22,23,6,22,23,22,23,Silurian
Telychian,438.5,433.4,11,23,23,6,23,23,23,23,Silurian
upper Telychian,438.5,433.4,11,23,23,6,23,23,23,23,Silurian
upper Telychian?,438.5,433.4,11,23,23,6,23,23,23,23,Silurian
Niagaran,435,433.4,12,NA,NA,7,NA,NA,NA,NA,Silurian
Sheinwoodian,433.4,430.5,12,24,24,7,24,24,24,24,Silurian
late Wenlock,433.4,430.5,12,25,25,7,25,25,25,25,Silurian
middle Wenlock,433.4,430.5,12,24,24,7,24,24,24,24,Silurian
Sheinwoodian/Homerian,433.4,427.4,12,24,24,7,24,24,24,24,Silurian
upper Wenlock,433.4,427.4,12,25,25,7,25,25,25,25,Silurian
Wenlock,433.4,427.4,12,24,25,7,24,25,24,25,Silurian
Wenlock?,433.4,427.4,12,24,25,7,24,25,24,25,Silurian
middle-late Wenlockian,433.4,427.4,12,25,25,7,25,25,25,25,Silurian
Wenlockian,433.4,427.4,12,24,25,7,24,25,24,25,Silurian
lower Wenlock?,433.4,430.5,12,24,24,7,24,24,24,24,Silurian
Wenlock/Ludlow,433.4,423,12,NA,NA,7,NA,NA,NA,NA,Silurian
Wenlockian-Ludlovian,433.4,423,12,NA,NA,7,NA,NA,NA,NA,Silurian
Wenlock-Ludlow,433.4,423,12,NA,NA,7,NA,NA,NA,NA,Silurian
lower Wenlock,433.4,430.5,12,24,24,7,24,24,24,24,Silurian
Homerian,430.5,427.4,12,25,25,7,25,25,25,25,Silurian
upper Wenlockian,430.5,427.4,12,25,25,7,25,25,25,25,Silurian
upper Wenlock-Ludlow,430.5,423,12,25,27,7,25,27,25,27,Silurian
Gorstian,427.4,425.6,12,26,26,7,26,26,26,26,Silurian
lower Ludlovian,427.4,425.6,12,26,26,7,26,26,26,26,Silurian
lower Ludlow,427.4,425.6,12,26,26,7,26,26,26,26,Silurian
Ludlov?,427.4,423,12,26,27,7,26,27,26,27,Silurian
Ludlovian,427.4,423,12,26,27,7,26,27,26,27,Silurian
middle Ludlovian,427.4,423,12,27,27,7,27,27,27,27,Silurian
Ludlow,427.4,423,12,26,27,7,26,27,26,27,Silurian
Ludlovian/Pridolian,427.4,419.2,12,27,28,7,27,28,27,28,Silurian
Ludlovian-Pridolian,427.4,419.2,12,27,28,7,27,28,27,28,Silurian
Ludlow-Gedinnian,427.4,410.8,12,26,28,7,26,28,26,28,Silurian
Ludfordian,425.6,423,12,27,27,7,27,27,27,27,Silurian
upper Ludlovian,425.6,423,12,27,27,7,27,27,27,27,Silurian
upper Ludlow,425.6,423,12,27,27,7,27,27,27,27,Silurian
Pridoli,423,419.2,12,28,28,8,28,28,28,28,Silurian
late Pridolian,423,419.2,12,28,28,8,28,28,28,28,Silurian
lowermost Pridolian,423,419.2,12,28,28,8,28,28,28,28,Silurian
Pridolian,423,419.2,12,28,28,8,28,28,28,28,Silurian
Upper Silurian,423,419.2,12,26,28,8,26,28,26,28,Silurian
lower Pridolian,423,419.2,12,28,28,8,28,28,28,28,Silurian
Pridolian-Lochkovian,423,410.8,13,28,29,8,28,29,28,29,Silurian
Pridoli-Lochkovian,423,410.8,13,28,29,8,28,29,28,29,Silurian
Pridolian/Pragian,423,407.6,13,28,30,8,28,30,28,30,Devonian
Pridoli-Pragian,423,407.6,13,28,30,8,28,30,28,30,Devonian
Gedinnian,419.2,410.8,13,29,29,8,29,29,29,29,Devonian
Gedinnian/Siegenian,419.2,410.8,13,29,30,8,29,30,29,30,Devonian
late Lochkovian,419.2,410.8,13,29,29,8,29,29,29,29,Devonian
Lochkovian,419.2,410.8,13,29,29,8,29,29,29,29,Devonian
lower Lochkovian,419.2,410.8,13,29,29,8,29,29,29,29,Devonian
upper Lochkovian,419.2,410.8,13,29,29,8,29,29,29,29,Devonian
Lochkovian/Pragian,419.2,407.6,13,29,30,8,29,30,29,30,Devonian
Lochkovian-Pragian,419.2,407.6,13,29,30,8,29,30,29,30,Devonian
Lower Devonian,419.2,393.3,13,29,31,8,29,31,29,31,Devonian
Devonian,419.2,359,NA,NA,NA,NA,NA,NA,NA,NA,Devonian
lower-middle Pragian,410.8,407.6,13,30,30,8,30,30,30,30,Devonian
Pragian,410.8,407.6,13,30,30,8,30,30,30,30,Devonian
upper Pragian,410.8,407.6,13,30,30,9,30,30,30,30,Devonian
lower Pragian,410.8,407.6,13,30,30,8,30,30,30,30,Devonian
Pragian/Emsian,410.8,393.3,13,30,31,9,30,31,30,31,Devonian
Pragian-Emsian,410.8,393.3,13,30,31,9,30,31,30,31,Devonian
upper Pragian-Emsian,410.8,393.3,13,30,30,9,30,30,30,30,Devonian
Pragian-lower Emsian,410.8,393.3,13,31,31,9,31,31,31,31,Devonian
Emsian,407.6,393.3,14,31,31,9,31,31,31,31,Devonian
lower Emsian,407.6,393.3,14,31,31,9,31,31,31,31,Devonian
Middle Emsian,407.6,393.3,14,31,31,9,31,31,31,31,Devonian
middle-upper Emsian,407.6,393.3,14,31,31,9,31,31,31,31,Devonian
upper Emsian,407.6,393.3,14,31,31,9,31,31,31,31,Devonian
Emsian?,407.6,393.3,14,31,31,9,31,31,31,31,Devonian
Emsian/Eifelian,407.6,387.7,14,31,32,9,31,32,31,32,Devonian
Emsian-Eifelian,407.6,387.7,14,31,32,9,31,32,31,32,Devonian
early Eifelian,393.3,387.7,15,32,32,9,32,32,32,32,Devonian
Eifelian,393.3,387.7,15,32,32,9,32,32,32,32,Devonian
late Eifelian,393.3,387.7,15,32,32,9,32,32,32,32,Devonian
lower Eifelian,393.3,387.7,15,32,32,9,32,32,32,32,Devonian
middle Eifelian,393.3,387.7,15,32,32,9,32,32,32,32,Devonian
middle-upper Eifelian,393.3,387.7,15,32,32,9,32,32,32,32,Devonian
upper Eifelian,393.3,387.7,15,32,32,9,32,32,32,32,Devonian
Eifelian-Givetian,393.3,382.7,15,32,33,9,32,33,32,33,Devonian
late Eifelian-Givetian,393.3,382.7,15,32,33,9,32,33,32,33,Devonian
Middle Devonian,387.7,382.7,15,32,33,NA,32,33,32,33,Devonian
Givetian,387.7,382.7,15,33,33,10,33,33,33,33,Devonian
lower Givetian,387.7,382.7,15,33,33,10,33,33,33,33,Devonian
middle Givetian,387.7,382.7,15,33,33,10,33,33,33,33,Devonian
middle-upper Givetian,387.7,382.7,15,33,33,10,33,33,33,33,Devonian
upper Givetian,387.7,382.7,15,33,33,10,33,33,33,33,Devonian
Givetian - lower Frasnian,387.7,382.7,15,33,34,10,33,34,33,34,Devonian
Givetian?,387.7,382.7,15,33,33,10,33,33,33,33,Devonian
late Givetian-early Frasnian,387.7,372.2,15,33,34,10,33,34,33,34,Devonian
Givetian-Frasnian,387.7,372.2,15,33,34,10,33,34,33,34,Devonian
upper Givetian-Frasnian,387.7,372.2,15,33,34,10,33,34,33,34,Devonian
early Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
late Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
latest Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
lower Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
middle Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
middle(?) Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
middle-late Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
middle-upper Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
upper Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
upper? Frasnian,382.7,372.2,16,34,34,10,34,34,34,34,Devonian
Frasnian-Famennian,382.7,358.9,16,34,35,10,34,35,34,35,Devonian
upper Frasnian-Famennian,382.7,358.9,16,34,35,10,34,35,34,35,Devonian
Upper Devonian,378,358.9,16,34,35,10,34,35,34,35,Devonian
early-middle Famennian,372.2,358.9,17,35,35,10,35,35,35,35,Devonian
Famennian,372.2,358.9,17,35,35,11,35,35,35,35,Devonian
late Famennian,372.2,358.9,17,35,35,11,35,35,35,35,Devonian
latest Famennian,372.2,358.9,17,35,35,11,35,35,35,35,Devonian
Lower Famennian,372.2,358.9,17,35,35,10,35,35,35,35,Devonian
lower Famennian,372.2,358.9,17,35,35,10,35,35,35,35,Devonian
middle Famennian,372.2,358.9,17,35,35,11,35,35,35,35,Devonian
upper Famennian,372.2,358.9,17,35,35,11,35,35,35,35,Devonian
upper middle Famennian,372.2,358.9,17,35,35,11,35,35,35,35,Devonian
upper Famennian (Strunian),372.2,358.9,17,35,35,11,35,35,35,35,Devonian
Strunian,372.2,358.9,17,35,35,11,35,35,35,35,Devonian
lower Strunian,372.2,358.9,17,35,35,11,35,35,35,35,Devonian
Famennian-Tournaisian,372.2,346.7,17,35,36,11,35,36,35,36,Devonian
Courceyan,358.9,346.7,18,36,36,11,36,36,36,36,Carboniferous
Ivorian,358.9,346.7,18,36,36,11,36,36,36,36,Carboniferous
Kinderhookian,358.9,346.7,18,36,36,11,36,36,36,36,Carboniferous
lower Kinderhookian,358.9,346.7,18,36,36,11,36,36,36,36,Carboniferous
Lower Kinderhookian,358.9,346.7,18,36,36,11,36,36,36,36,Carboniferous
upper Kinderhookian,358.9,346.7,18,36,36,11,36,36,36,36,Carboniferous
Tournaisian,358.9,346.7,18,36,36,11,36,36,36,36,Carboniferous
upper Tournaisian,358.9,346.7,18,36,36,11,36,36,36,36,Carboniferous
Tournaisian-Early Visean,358.9,346.7,18,37,37,11,37,37,37,37,Carboniferous
middle Tournasian,358.9,346.7,18,36,36,11,36,36,36,36,Carboniferous
lower Tournaisian,358.9,346.7,18,36,36,11,36,36,36,36,Carboniferous
Tournaisian/Visean,358.9,330.9,18,36,37,11,36,37,36,37,Carboniferous
Lower Carboniferous,358.9,323.2,NA,NA,NA,11,NA,NA,NA,NA,Carboniferous
lower Osagean,350,345,18,36,36,11,36,36,36,36,Carboniferous
Osagean,350,342,18,36,36,11,36,36,36,36,Carboniferous
Courceyan/Chadian,350,346.7,18,37,37,11,37,37,37,37,Carboniferous
Valmeyerian,350,346,19,36,36,11,36,36,36,36,Carboniferous
upper Osagean,346.7,342,18,37,37,11,37,37,37,37,Carboniferous
Osagean (Tn3),346.7,342,18,37,37,11,37,37,37,37,Carboniferous
Chadian,346.7,345,19,37,37,11,37,37,37,37,Carboniferous
upper Vis,346.7,330.9,19,37,37,12,37,37,37,37,Carboniferous
early to middle Visean,346.7,330.9,19,37,37,12,37,37,37,37,Carboniferous
Visean,346.7,330.9,19,37,37,12,37,37,37,37,Carboniferous
lower Visean,346.7,336,19,37,37,11,37,37,37,37,Carboniferous
upper Chadian,346,345,19,37,37,11,37,37,37,37,Carboniferous
Meramecian,345,336,19,37,37,11,37,37,37,37,Carboniferous
middle-upper Visean,345,336,19,37,37,12,37,37,37,37,Carboniferous
middle Visean,345,340,19,37,37,12,37,37,37,37,Carboniferous
middle-upper Viséan,345,336,19,37,37,12,37,37,37,37,Carboniferous
Arundian,345,342,19,37,37,12,37,37,37,37,Carboniferous
Holkerian,342,340,19,37,37,12,37,37,37,37,Carboniferous
upper Holkerian,341,340,19,37,37,12,37,37,37,37,Carboniferous
upper Visean,340,330.9,19,37,37,12,37,37,37,37,Carboniferous
upper Viséan,340,330.9,19,37,37,12,37,37,37,37,Carboniferous
Asbian,340,336,19,37,37,12,37,37,37,37,Carboniferous
early Asbian,340,338,19,37,37,12,37,37,37,37,Carboniferous
Asbian-Brigantian,340,330.9,19,37,37,12,37,37,37,37,Carboniferous
upper Asbian,338,336,19,37,37,12,37,37,37,37,Carboniferous
late Asbian-Brigantian,338,331,19,37,37,12,37,37,37,37,Carboniferous
latest Visean,336,331,20,37,37,12,37,37,37,37,Carboniferous
Brigantian-Serpukhovian,336,323.2,20,37,38,12,37,38,37,38,Carboniferous
Visean/Serpukhovian,336,323.2,20,37,38,12,37,38,37,38,Carboniferous
upper Visean-Serpukhovian,336,323.2,20,37,38,12,37,38,37,38,Carboniferous
Visean-Serpukhovian,336,323.2,20,37,38,12,37,38,37,38,Carboniferous
Visean-Bashkirian,336,315.2,20,NA,NA,12,NA,NA,NA,NA,Carboniferous
Brigantian,336,331,20,37,37,12,37,37,37,37,Carboniferous
lower Chesterian,336,334,20,38,38,12,38,38,38,38,Carboniferous
Chesterian,336,331,20,38,38,12,38,38,38,38,Carboniferous
lower Middle Chesterian,336,333,20,38,38,12,38,38,38,38,Carboniferous
Arnsbergian,336,331,20,38,38,12,38,38,38,38,Carboniferous
Serpukhovian,330.9,323.2,20,38,38,12,38,38,38,38,Carboniferous
upper Serpukhovian,330.9,323.2,20,38,38,12,38,38,38,38,Carboniferous
Serpukhovian/Bashkirian,330.9,315.2,20,38,39,NA,38,39,38,39,Carboniferous
Serpukhovian-Bashkirian,330.9,315.2,20,38,39,NA,38,39,38,39,Carboniferous
Namurian,326.4,315,21,39,39,13,39,39,39,39,Carboniferous
Bashkirian,323.2,315.2,21,39,39,13,39,39,39,39,Carboniferous
lower Bashkirian,323.2,315.2,21,39,39,13,39,39,39,39,Carboniferous
middle Bashkirian,323.2,315.2,21,39,39,13,39,39,39,39,Carboniferous
upper Bashkirian,323.2,315.2,21,39,39,13,39,39,39,39,Carboniferous
Middle Carboniferous,323.2,315.2,21,NA,NA,13,NA,NA,NA,NA,Carboniferous
upper Morrowan,323.2,315,21,39,39,13,39,39,39,39,Carboniferous
Pennsylvanian,323.2,298.9,21,NA,NA,13,NA,NA,NA,NA,Carboniferous
Pennsylvanian-Asselian,323.2,295,NA,NA,NA,13,NA,NA,NA,NA,Carboniferous
Morrowan,323.2,315,21,39,39,13,39,39,39,39,Carboniferous
Atokan,315.2,310,21,40,40,13,40,40,40,40,Carboniferous
Desmoinesian,315.2,307,21,40,40,13,40,40,40,40,Carboniferous
early Moscovian,315.2,310,21,40,40,13,40,40,40,40,Carboniferous
lower Moscovian,315.2,310,21,40,40,13,40,40,40,40,Carboniferous
Moscovian,315.2,307,21,40,40,13,40,40,40,40,Carboniferous
upper Moscovian,315.2,311,21,40,40,13,40,40,40,40,Carboniferous
Moscovian-Kasimovian,315.2,303.7,21,40,41,13,40,41,40,41,Carboniferous
Moskovian-Kasimovian,315.2,303.7,21,40,41,13,40,41,40,41,Carboniferous
Moscovian/Sakmarian,315.2,290.1,NA,NA,NA,13,NA,NA,NA,NA,Carboniferous
upper Atokan,312,310,21,40,40,13,40,40,40,40,Carboniferous
Westphal C/D,311.7,306.5,22,40,41,13,40,41,40,41,Carboniferous
Westphalian B/C,311.7,306.5,22,40,40,13,40,40,40,40,Carboniferous
Kasimovian,307,303.7,22,41,41,13,41,41,41,41,Carboniferous
lower Kasimovian,307,303.7,22,41,41,13,41,41,41,41,Carboniferous
Missourian,307,303.7,22,41,41,13,41,41,41,41,Carboniferous
upper Missourian,307,303.7,22,41,41,13,41,41,41,41,Carboniferous
Missourian/Virgilian,307,303.7,22,41,42,13,41,42,41,42,Carboniferous
Missourian-Virgillian,307,303.7,22,41,42,13,41,42,41,42,Carboniferous
Stephanian,307,303.7,22,42,42,14,42,42,42,42,Carboniferous
