"interval_name","photic","n","bin","rank","max_ma","mid_ma","min_ma","duration_myr","abbr","colour","font"
"Kasimovian","Unknown",4,38,"international ages",307,305.35,303.7,3.30000000000001,"Kas","#BFD0C5","black"
"Katian","Blue mesophotic",135,16,"international ages",453,449.1,445.2,7.80000000000001,"Kat","#99D69F","black"
"Katian","Brown mesophotic",45,16,"international ages",453,449.1,445.2,7.80000000000001,"Kat","#99D69F","black"
"Katian","Euphotic",608,16,"international ages",453,449.1,445.2,7.80000000000001,"Kat","#99D69F","black"
"Katian","Unknown",613,16,"international ages",453,449.1,445.2,7.80000000000001,"Kat","#99D69F","black"
"Kimmeridgian","Blue mesophotic",12,65,"international ages",154.8,152,149.2,5.60000000000002,"Ki","#CCECF4","black"
"Kimmeridgian","Brown mesophotic",127,65,"international ages",154.8,152,149.2,5.60000000000002,"Ki","#CCECF4","black"
"Kimmeridgian","Euphotic",1407,65,"international ages",154.8,152,149.2,5.60000000000002,"Ki","#CCECF4","black"
"Kimmeridgian","Unknown",30,65,"international ages",154.8,152,149.2,5.60000000000002,"Ki","#CCECF4","black"
"Kungurian","Blue mesophotic",1,43,"international ages",283.5,278.255,273.01,10.49,"Ku","#E38776","black"
"Kungurian","Brown mesophotic",2,43,"international ages",283.5,278.255,273.01,10.49,"Ku","#E38776","black"
"Kungurian","Euphotic",127,43,"international ages",283.5,278.255,273.01,10.49,"Ku","#E38776","black"
"Kungurian","Unknown",119,43,"international ages",283.5,278.255,273.01,10.49,"Ku","#E38776","black"
"Ladinian","Blue mesophotic",3,52,"international ages",242,239.5,237,5,"Lad","#C983BF","black"
"Ladinian","Brown mesophotic",7,52,"international ages",242,239.5,237,5,"Lad","#C983BF","black"
"Ladinian","Euphotic",70,52,"international ages",242,239.5,237,5,"Lad","#C983BF","black"
"Ladinian","Unknown",10,52,"international ages",242,239.5,237,5,"Lad","#C983BF","black"
"Langhian","Blue mesophotic",12,90,"international ages",15.98,14.9,13.82,2.16,"Lan","#FFFF4D","black"
"Langhian","Brown mesophotic",85,90,"international ages",15.98,14.9,13.82,2.16,"Lan","#FFFF4D","black"
"Langhian","Euphotic",353,90,"international ages",15.98,14.9,13.82,2.16,"Lan","#FFFF4D","black"
"Langhian","Unknown",185,90,"international ages",15.98,14.9,13.82,2.16,"Lan","#FFFF4D","black"
"Lochkovian","Blue mesophotic",22,26,"international ages",419.2,415,410.8,8.39999999999998,"Lo","#E5B75A","black"
"Lochkovian","Brown mesophotic",165,26,"international ages",419.2,415,410.8,8.39999999999998,"Lo","#E5B75A","black"
"Lochkovian","Euphotic",289,26,"international ages",419.2,415,410.8,8.39999999999998,"Lo","#E5B75A","black"
"Lochkovian","Unknown",546,26,"international ages",419.2,415,410.8,8.39999999999998,"Lo","#E5B75A","black"
"Ludfordian","Blue mesophotic",5,24,"international ages",425.6,424.3,423,2.60000000000002,"Lud","#D9F0DF","black"
"Ludfordian","Brown mesophotic",8,24,"international ages",425.6,424.3,423,2.60000000000002,"Lud","#D9F0DF","black"
"Ludfordian","Euphotic",266,24,"international ages",425.6,424.3,423,2.60000000000002,"Lud","#D9F0DF","black"
"Ludfordian","Unknown",351,24,"international ages",425.6,424.3,423,2.60000000000002,"Lud","#D9F0DF","black"
