"interval_name","photic","n","bin","rank","max_ma","mid_ma","min_ma","duration_myr","abbr","colour","font"
"Moscovian","Euphotic",8,37,"international ages",315.2,311.1,307,8.19999999999999,"Mo","#C7CBB9","black"
"Norian","Blue mesophotic",8,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Norian","Brown mesophotic",5,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Norian","Euphotic",51,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Oxfordian","Blue mesophotic",6,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Oxfordian","Brown mesophotic",8,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Oxfordian","Euphotic",72,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Piacenzian","Blue mesophotic",2,95,"international ages",3.6,3.09,2.58,1.02,"Pi","#FFFFBF","black"
"Piacenzian","Brown mesophotic",1,95,"international ages",3.6,3.09,2.58,1.02,"Pi","#FFFFBF","black"
"Piacenzian","Euphotic",13,95,"international ages",3.6,3.09,2.58,1.02,"Pi","#FFFFBF","black"
"Pleistocene","Blue mesophotic",3,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pleistocene","Brown mesophotic",6,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pleistocene","Euphotic",83,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pliensbachian","Blue mesophotic",1,58,"international ages",192.9,188.55,184.2,8.70000000000002,"Pl","#80C5DD","black"
"Pliensbachian","Brown mesophotic",1,58,"international ages",192.9,188.55,184.2,8.70000000000002,"Pl","#80C5DD","black"
"Pliensbachian","Euphotic",14,58,"international ages",192.9,188.55,184.2,8.70000000000002,"Pl","#80C5DD","black"
"Pragian","Brown mesophotic",1,27,"international ages",410.8,409.2,407.6,3.19999999999999,"Pra","#E5C468","black"
"Pragian","Euphotic",5,27,"international ages",410.8,409.2,407.6,3.19999999999999,"Pra","#E5C468","black"
"Priabonian","Brown mesophotic",3,85,"international ages",37.71,35.805,33.9,3.81,"Pria","#FDCDA1","black"
"Priabonian","Euphotic",9,85,"international ages",37.71,35.805,33.9,3.81,"Pria","#FDCDA1","black"
"Pridoli","Brown mesophotic",1,25,"international ages",423,421.1,419.2,3.80000000000001,"Prid","#E6F5E1","black"
"Pridoli","Euphotic",4,25,"international ages",423,421.1,419.2,3.80000000000001,"Prid","#E6F5E1","black"
"Rhaetian","Blue mesophotic",2,55,"international ages",208.5,204.95,201.4,7.09999999999999,"Rha","#E3B9DB","black"
"Rhaetian","Euphotic",22,55,"international ages",208.5,204.95,201.4,7.09999999999999,"Rha","#E3B9DB","black"
"Rhuddanian","Blue mesophotic",2,18,"international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
"Rhuddanian","Euphotic",9,18,"international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
"Roadian","Brown mesophotic",1,44,"international ages",273.01,269.955,266.9,6.11000000000001,"Ro","#FB8069","black"
"Roadian","Euphotic",8,44,"international ages",273.01,269.955,266.9,6.11000000000001,"Ro","#FB8069","black"
"Rupelian","Brown mesophotic",2,86,"international ages",33.9,30.86,27.82,6.08,"Ru","#FED99A","black"
"Rupelian","Euphotic",16,86,"international ages",33.9,30.86,27.82,6.08,"Ru","#FED99A","black"
"Sakmarian","Euphotic",4,41,"international ages",293.52,291.81,290.1,3.41999999999996,"Sak","#E36F5C","black"
"Sandbian","Euphotic",3,15,"international ages",458.4,455.7,453,5.39999999999998,"Sand","#8CD094","black"
"Santonian","Brown mesophotic",1,76,"international ages",86.3,84.95,83.6,2.7,"Sant","#D9EF74","black"
"Santonian","Euphotic",3,76,"international ages",86.3,84.95,83.6,2.7,"Sant","#D9EF74","black"
"Selandian","Euphotic",3,80,"international ages",61.6,60.4,59.2,2.4,"Sel","#FEBF65","black"
"Serpukhovian","Blue mesophotic",2,35,"international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
"Serpukhovian","Euphotic",2,35,"international ages",330.9,327.05,323.2,7.69999999999999,"Serp","#BFC26B","black"
"Serravallian","Brown mesophotic",8,91,"international ages",13.82,12.725,11.63,2.19,"Serr","#FFFF59","black"
"Serravallian","Euphotic",15,91,"international ages",13.82,12.725,11.63,2.19,"Serr","#FFFF59","black"
"Sheinwoodian","Blue mesophotic",1,21,"international ages",433.4,431.95,430.5,2.89999999999998,"Sh","#BFE6C3","black"
"Sheinwoodian","Brown mesophotic",3,21,"international ages",433.4,431.95,430.5,2.89999999999998,"Sh","#BFE6C3","black"
"Sheinwoodian","Euphotic",17,21,"international ages",433.4,431.95,430.5,2.89999999999998,"Sh","#BFE6C3","black"
"Sinemurian","Euphotic",4,57,"international ages",199.5,196.2,192.9,6.59999999999999,"Si","#67BCD8","black"
"Telychian","Blue mesophotic",4,20,"international ages",438.5,435.95,433.4,5.10000000000002,"Te","#BFE6CF","black"
"Telychian","Brown mesophotic",1,20,"international ages",438.5,435.95,433.4,5.10000000000002,"Te","#BFE6CF","black"
"Telychian","Euphotic",27,20,"international ages",438.5,435.95,433.4,5.10000000000002,"Te","#BFE6CF","black"
"Thanetian","Blue mesophotic",2,81,"international ages",59.2,57.6,56,3.2,"Th","#FDBF6F","black"
"Thanetian","Brown mesophotic",3,81,"international ages",59.2,57.6,56,3.2,"Th","#FDBF6F","black"
"Thanetian","Euphotic",11,81,"international ages",59.2,57.6,56,3.2,"Th","#FDBF6F","black"
"Tithonian","Brown mesophotic",3,66,"international ages",149.2,147.1,145,4.19999999999999,"Ti","#D9F1F7","black"
"Tithonian","Euphotic",25,66,"international ages",149.2,147.1,145,4.19999999999999,"Ti","#D9F1F7","black"
"Toarcian","Blue mesophotic",1,59,"international ages",184.2,179.45,174.7,9.5,"Toa","#99CEE3","black"
"Toarcian","Euphotic",7,59,"international ages",184.2,179.45,174.7,9.5,"Toa","#99CEE3","black"
"Tortonian","Brown mesophotic",20,92,"international ages",11.63,9.438,7.246,4.384,"Tor","#FFFF66","black"
"Tortonian","Euphotic",26,92,"international ages",11.63,9.438,7.246,4.384,"Tor","#FFFF66","black"
